CACODE	CONSTITUENCY	CAND_NUM	NAME	RESULT	VOTE
H08	TUNG TAU	1	CHEUNG PAK HANG	1,448	1448
H08	TUNG TAU	2	LI TAK HONG	2,710*	2710
H09	TUNG MEI	1	SZE TAK LOY	2,894*	2894
H09	TUNG MEI	2	WONG KWOK YAN	1,597	1597
H10	LOK FU	1	YUEN YUET HING	981	981
H10	LOK FU	2	CHAN WAI KWAN ANDIE	2,232*	2232
H11	WANG TAU HOM	1	LAI WING HO JOE	Uncontested	NA
H12	TIN KEUNG	1	LEE HO YIN RAYMOND	2,207	2207
H12	TIN KEUNG	2	CHAN ON TAI	2,772*	2772
H13	TSUI CHUK & PANG CHING	1	SO SIK KIN	1,878	1878
H13	TSUI CHUK & PANG CHING	2	CHAN YING LEONARD	2,967*	2967
H13	TSUI CHUK & PANG CHING	3	LEE KA HING	815	815
H14	CHUK YUEN SOUTH	1	HUI KAM SHING	3,056*	3056
H14	CHUK YUEN SOUTH	2	CHAN CHAK SUM	1,107	1107
H15	CHUK YUEN NORTH	1	CHAN KIT BING(ICE)	1,206	1206
H15	CHUK YUEN NORTH	2	TING CHI WAI ROY	2,799*	2799
H16	TSZ WAN WEST	1	LEUNG YAU KING	362	362
H16	TSZ WAN WEST	2	YUNG SING KWONG	2,405	2405
H16	TSZ WAN WEST	3	YUEN KWOK KEUNG	3,285*	3285
H17	CHING OI	1	CHAN MAN KI MAGGIE	3,243*	3243
H17	CHING OI	2	MAK TSZ HO	2,048	2048
H18	CHING ON	1	WONG YAT YUK	Uncontested	NA
H19	TSZ WAN EAST	1	HO HON MAN	3,192*	3192
H19	TSZ WAN EAST	2	TAM CHUN MAN	1,585	1585
H20	KING FU	1	WONG CHUN KIN	2,377	2377
H20	KING FU	2	WU CHI WAI	3,907*	3907
H21	CHOI WAN EAST	1	WONG KWOK TUNG	1,551	1551
H21	CHOI WAN EAST	2	LOK WAI CHUEN	129	129
H21	CHOI WAN EAST	3	CHOY TSZ KIN TIMOTHY	2,201*	2201
H22	CHOI WAN SOUTH	1	SHUM WAN WA	2,432*	2432
H22	CHOI WAN SOUTH	2	LI MEI LAN	1,321	1321
H23	CHOI WAN WEST	1	TSE CHI KIT	1,810	1810
H23	CHOI WAN WEST	2	TAM MEI PO	2,682*	2682
H24	CHI CHOI	1	WU CHI KIN	2,083*	2083
H24	CHI CHOI	2	HO YIN FAI	2,078	2078
H25	CHOI HUNG	1	LEUNG TAT POR	1,639	1639
H25	CHOI HUNG	2	MOK KIN WING	2,898*	2898
J01	KWUN TONG CENTRAL	1	CHAN WAH YU NELSON	Uncontested	NA
J02	KOWLOON BAY	1	POON YAM WAI CHUN WINNIE	Uncontested	NA
J03	KAI YIP	1	LAM SING	1,826	1826
J03	KAI YIP	2	AU YEUNG KWAN NOK	2,128*	2128
J04	LAI CHING	1	POON CHUN YUEN	2,682	2682
J04	LAI CHING	2	BUX SHEIK ANTHONY	3,060*	3060
J05	PING SHEK	1	CHAN CHUN KIT	Uncontested	NA
J06	SHEUNG CHOI	1	TAM SIU CHEUK	Uncontested	NA
J07	JORDAN VALLEY	1	WONG WAI TAG	1,400	1400
J07	JORDAN VALLEY	2	NGAN MAN YU	2,638*	2638
J08	SHUN TIN	1	MOK KIN SHING	2,864*	2864
J08	SHUN TIN	2	KWOK BIT CHUN(BENJAMIN)	2,764	2764
J09	SHEUNG SHUN	1	FU PIK CHUN	Uncontested	NA
J10	ON LEE	1	CHOY CHAK HUNG	2,128*	2128
J10	ON LEE	2	LEUNG TANG FUNG	1,665	1665
J10	ON LEE	3	CHO KAI FAI	92	92
J11	PO TAT	1	TAM HO LAM	1,042	1042
J11	PO TAT	2	HUNG KAM IN	3,993*	3993
J12	SAU MAU PING NORTH	1	WONG CHUN PING	Uncontested	NA
J13	HIU LAI	1	FUNG KWOK KEUNG BONHOEFFER	2,284	2284
J13	HIU LAI	2	SO LAI CHUN	3,466*	3466
